"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"
"Afghanistan","66","66","66","65","62","64","67","68","66","63","","","","","","","","","","","","","","","","","",""
"Albania","99","99","98","99","98","99","99","99","99","98","","","","","","","","","","","","","","","","","",""
"Algeria","91","91","91","95","95","95","95","95","95","95","93","","","","","","","","","","","","","","","","",""
"Andorra","99","99","98","97","97","96","98","99","98","97","98","95","93","97","95","91","92","92","90","80","55","","","","","","",""
"Angola","59","52","55","55","55","54","52","46","52","34","41","43","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","95","95","92","99","99","99","98","99","98","94","97","99","99","99","97","97","97","97","","","","","","","","","",""
"Argentina","86","86","92","94","94","94","91","91","94","94","93","91","91","98","98","96","93","83","83","86","49","","","","","","",""
"Armenia","92","94","94","94","93","95","95","95","48","","","","","","","","","","","","","","","","","","",""
"Australia","94","94","94","93","91","91","92","92","92","94","94","94","95","94","95","95","95","95","90","87","82","77","","","","","",""
"Austria","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","82","74","72","74","","","","","","","",""
"Azerbaijan","95","95","97","96","94","93","89","36","","","","","","","","","","","","","","","","","","","",""
"Bahamas","90","94","94","95","96","97","98","98","98","96","94","95","95","93","93","93","94","99","90","78","","","","","","","",""
"Bahrain","99","97","99","98","98","99","99","99","99","97","97","97","98","98","98","97","98","99","97","96","39","","","","","","",""
"Bangladesh","98","98","98","98","97","96","94","87","94","97","","","","","","","","","","","","","","","","","",""
"Barbados","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","88","66","18","","","","","","","","","",""
"Belarus","9","9","11","9","20","23","22","21","","19","6","","","","","","","","","","","","","","","","",""
"Belgium","97","97","97","98","98","98","98","98","98","98","98","98","98","95","87","87","86","86","86","59","33","6","10","13","16","20","",""
"Belize","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","89","96","","","","","","","","","",""
"Benin","76","76","76","74","74","77","80","75","76","79","75","82","74","35","","","","","","","","","","","","","",""
"Bhutan","97","98","98","99","99","97","97","","","","","","","","","","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","80","77","77","77","","","","","","","","",""
"Bosnia and Herzegovina","62","68","69","78","79","83","87","85","83","80","83","83","82","50","49","","","","","","","","","","","","",""
"Botswana","95","95","95","95","95","95","95","95","","","","","","","","","","","","","","","","","","","",""
"Brazil","83","93","89","96","95","98","95","99","99","99","99","98","97","96","95","94","93","93","90","","","","","","","","",""
"Brunei Darussalam","99","99","99","99","96","99","95","97","95","99","98","99","97","94","92","92","94","","","","","","","","","","",""
"Bulgaria","92","92","92","87","83","95","95","95","91","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","91","91","91","91","91","88","90","91","91","92","93","89","76","","","","","","","","","","","","","","",""
"Burundi","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","","","","","","","","","","","","",""
"Cabo Verde","99","97","96","94","96","93","94","90","","","","","","","","","","","","","","","","","","","",""
"Cambodia","92","93","93","92","91","86","89","88","86","","","","","","","","","","","","","","","","","","",""
"Cameroon","79","86","85","84","87","89","85","82","84","80","","","","","","","","","","","","","","","","","",""
"Canada","91","91","91","91","91","91","90","89","90","91","92","93","95","93","91","88","88","88","88","88","88","87","84","","","","",""
"Central African Republic","47","47","47","47","47","23","47","47","45","42","","","","","","","","","","","","","","","","","",""
"Chad","41","41","41","42","36","39","40","33","39","24","17","","","","","","","","","","","","","","","","",""
"Chile","95","93","95","97","95","90","90","94","92","94","95","96","94","91","93","96","97","97","91","95","90","90","91","","","","",""
"Colombia","92","92","91","91","90","91","91","85","88","92","92","93","93","93","89","93","69","55","65","64","62","","","","","","",""
"Comoros","91","91","91","91","88","88","89","83","74","38","","","","","","","","","","","","","","","","","",""
"Congo","75","69","71","80","90","85","64","71","74","72","","","","","","","","","","","","","","","","","",""
"Cook Islands","99","99","99","99","99","98","98","93","99","82","","","","","","","","","","","","","","","","","",""
"Costa Rica","94","96","97","92","91","95","90","81","90","87","87","88","88","89","90","87","93","89","92","68","26","","","","","","",""
"C̫te d'Ivoire","82","83","85","77","73","75","82","62","85","81","","","","","","","","","","","","","","","","","",""
"Croatia","94","92","93","94","95","96","96","96","97","96","96","96","96","96","95","95","79","","","","","","","","","","",""
"Cuba","99","99","99","99","97","96","96","96","96","96","97","97","97","94","99","99","99","99","99","99","","","","","","","",""
"Cyprus","97","96","96","97","96","96","96","96","96","96","90","90","90","58","58","58","32","32","32","","","","","","","","",""
"Czechia","94","94","96","97","99","99","99","99","99","99","99","99","97","97","98","97","95","","","","","","","","","","",""
"Democratic People's Republic of Korea","97","97","96","96","93","93","32","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","81","81","79","81","80","74","75","74","60","72","","","","","","","","","","","","","","","","","",""
"Denmark","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","96","95","95","95","97","99","93","78","88","82","",""
"Djibouti","84","76","68","84","78","82","81","87","88","89","89","25","","","","","","","","","","","","","","","",""
"Dominica","94","91","99","98","97","96","97","98","98","99","96","93","7","","","","","","","","","","","","","","",""
"Dominican Republic","90","77","73","76","87","75","70","71","81","77","79","70","80","87","80","75","43","20","","","","","","","","","",""
"Ecuador","85","85","83","78","83","87","87","88","90","93","95","95","94","90","86","54","","","","","","","","","","","",""
"Egypt","95","94","95","93","94","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","81","85","93","91","93","92","92","89","89","91","98","99","96","89","90","94","81","","","","","","","","","","",""
"Equatorial Guinea","25","25","19","16","20","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","95","95","95","95","94","94","94","94","95","95","95","","","","","","","","","","","","","","","","",""
"Estonia","92","93","93","93","93","94","94","93","94","95","95","95","88","37","27","","","","","","","","","","","","",""
"Eswatini","90","90","90","90","98","98","95","91","89","89","","","","","","","","","","","","","","","","","",""
"Ethiopia","72","73","73","73","61","59","62","65","62","56","52","47","","","","","","","","","","","","","","","",""
"Fiji","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","","","","","",""
"Finland","91","89","92","97","98","98","99","99","99","98","98","97","98","98","96","96","96","96","96","96","96","96","96","94","93","97","97",""
"France","95","95","95","96","97","98","98","98","97","97","97","97","97","97","97","87","87","86","86","85","79","","","","","","",""
"Gabon","70","75","75","80","70","79","82","75","67","","","","","","","","","","","","","","","","","","",""
"Gambia","93","92","95","97","96","97","98","96","97","99","97","94","95","95","93","91","89","87","90","94","97","","","","","","",""
"Georgia","93","91","92","87","91","96","92","94","67","","","","","","","","","","","","","","","","","","",""
"Germany","92","92","92","92","92","92","93","93","93","94","94","94","93","94","94","93","94","94","94","92","90","88","88","85","82","80","74","60"
"Ghana","97","99","93","88","98","90","92","91","94","94","93","94","84","84","80","80","80","","","","","","","","","","",""
"Greece","99","99","99","99","99","94","94","83","83","83","83","83","84","84","85","86","86","87","87","88","71","54","36","19","2","","",""
"Grenada","96","96","96","92","97","97","97","95","97","99","99","96","91","99","83","97","98","96","33","","","","","","","","",""
"Guatemala","86","82","80","74","73","85","96","85","94","92","95","85","89","87","","","","","","","","","","","","","",""
"Guinea","45","45","45","45","44","50","57","63","64","57","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","88","88","88","88","88","87","87","89","86","80","","","","","","","","","","","","","","","","","",""
"Guyana","95","97","97","95","98","98","97","93","95","98","93","94","93","93","91","90","91","85","","","","","","","","","",""
"Haiti","64","64","64","64","63","68","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","90","89","94","98","98","98","98","97","97","97","92","93","94","97","93","91","94","95","93","","","","","","","","",""
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","","","","","","","",""
"Iceland","91","89","91","92","90","91","89","95","96","96","98","97","97","95","99","97","95","92","98","98","99","99","99","99","99","99","99","99"
"India","89","89","80","45","20","20","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","79","79","79","78","30","4","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","99","99","99","98","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","84","85","73","68","69","68","36","","","","","","","","","","","","","","","","","","","","",""
"Ireland","94","95","95","95","96","95","95","95","94","93","93","92","91","90","89","86","83","84","85","86","84","76","","","","","",""
"Israel","98","98","94","95","95","96","94","94","95","96","94","95","94","93","95","93","91","94","93","93","94","92","92","93","92","","",""
"Italy","94","94","93","93","94","95","96","96","95","96","96","96","96","95","94","90","83","70","55","","","","","","","","",""
"Jamaica","98","93","99","91","92","93","96","91","94","90","91","91","97","99","98","35","","","","","","","","","","","",""
"Japan","99","99","99","96","99","99","99","99","","","","","","","","","","","","","","","","","","","",""
"Jordan","96","99","98","99","98","98","98","98","98","98","97","98","98","95","95","97","95","59","","","","","","","","","",""
"Kazakhstan","98","99","82","98","95","98","97","95","96","97","49","","","","","","","","","","","","","","","","",""
"Kenya","92","82","90","89","92","93","94","96","90","88","88","81","80","76","73","73","84","","","","","","","","","","",""
"Kiribati","95","90","81","82","75","95","94","95","91","86","83","","","","","","","","","","","","","","","","",""
"Kuwait","99","99","99","99","95","99","98","99","98","99","99","99","99","99","98","99","99","99","98","94","94","","","","","","",""
"Kyrgyzstan","92","92","96","97","96","97","96","96","96","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","68","69","66","81","88","87","79","78","74","","","","","","","","","","","","","","","","","","",""
"Latvia","96","98","98","94","92","94","90","91","90","94","94","94","96","99","98","96","87","84","79","76","47","67","35","58","10","","",""
"Lebanon","85","85","85","85","85","85","84","83","83","82","81","80","78","77","75","74","","","","","","","","","","","",""
"Lesotho","93","93","93","93","93","93","95","96","94","91","","","","","","","","","","","","","","","","","",""
"Liberia","84","86","79","52","50","76","80","77","47","64","64","","","","","","","","","","","","","","","","",""
"Libya","97","96","97","97","94","96","98","98","98","98","98","56","","","","","","","","","","","","","","","",""
"Lithuania","92","94","94","93","93","93","93","92","95","98","96","95","94","61","35","10","5","4","2","2","","","","","","","",""
"Luxembourg","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","96","93","91","88","86","","","","","",""
"Madagascar","75","74","77","69","73","74","70","73","71","77","52","","","","","","","","","","","","","","","","",""
"Malawi","92","88","84","88","91","89","96","97","93","93","91","87","99","93","89","84","64","","","","","","","","","","",""
"Malaysia","99","99","95","99","97","97","99","95","95","95","95","90","89","85","71","","","","","","","","","","","","",""
"Maldives","99","99","99","99","99","58","","","","","","","","","","","","","","","","","","","","","",""
"Mali","71","70","69","67","66","64","65","66","73","73","74","44","16","1","","","","","","","","","","","","","",""
"Malta","97","98","97","97","99","99","99","96","76","73","72","72","83","83","83","84","84","84","93","91","89","64","38","","","","",""
"Marshall Islands","72","65","58","70","65","66","67","80","92","99","92","83","60","69","46","70","80","45","45","","","","","","","","",""
"Mauritania","81","81","74","73","81","80","80","75","64","64","","","","","","","","","","","","","","","","","",""
"Mauritius","97","96","96","97","97","98","98","98","99","99","99","96","96","","","","","","","","","","","","","","",""
"Mexico","88","85","93","87","87","83","99","97","95","95","96","98","98","98","98","98","97","97","97","","","","","","","","",""
"Micronesia (Federated States of)","59","44","46","61","65","68","66","72","70","73","73","79","59","74","65","68","70","73","75","40","","","","","","","",""
"Monaco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","","","","","","","",""
"Mongolia","99","99","99","99","99","98","99","99","96","97","96","78","56","28","","","","","","","","","","","","","",""
"Montenegro","87","87","89","89","91","94","94","90","90","87","93","89","90","","","","","","","","","","","","","","",""
"Morocco","99","99","99","99","99","99","99","99","99","99","99","91","","","","","","","","","","","","","","","",""
"Mozambique","80","80","80","80","79","78","76","76","74","74","","","","","","","","","","","","","","","","","",""
"Myanmar","91","89","90","89","88","75","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","89","88","85","92","88","89","84","82","83","","","","","","","","","","","","","","","","","","",""
"Nauru","90","87","97","91","95","87","79","99","99","99","","","","","","","","","","","","","","","","","",""
"Nepal","91","90","87","91","92","92","90","92","","","","","","","","","","","","","","","","","","","",""
"Netherlands","93","94","95","96","96","97","97","97","97","97","97","97","96","96","97","97","96","96","96","96","96","96","","","","","",""
"New Zealand","92","93","92","92","93","92","93","94","89","98","86","78","80","80","83","85","88","90","90","88","81","86","","","","","",""
"Nicaragua","98","98","98","98","98","98","98","98","98","98","97","93","88","86","79","86","85","87","83","80","","","","","","","",""
"Niger","79","85","80","84","81","73","71","75","70","71","","","","","","","","","","","","","","","","","",""
"Nigeria","57","57","57","42","43","27","10","","","","","","","","","","","","","","","","","","","","",""
"Niue","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","","","","","","","","",""
"Norway","96","96","96","95","94","95","95","95","94","95","94","95","95","93","94","94","95","93","93","94","95","96","97","","","","",""
"Oman","99","99","99","99","99","98","98","99","99","98","99","99","98","99","99","99","97","","","","","","","","","","",""
"Pakistan","75","75","75","72","69","65","64","63","52","52","","","","","","","","","","","","","","","","","",""
"Palau","92","95","98","89","99","99","89","85","66","48","92","95","98","98","98","94","90","93","96","96","74","","","","","","",""
"Panama","88","81","86","73","80","80","85","87","94","85","86","85","88","92","95","98","99","99","","","","","","","","","",""
"Papua New Guinea","61","62","72","73","73","79","74","72","67","73","","","","","","","","","","","","","","","","","",""
"Paraguay","88","91","92","92","93","90","91","91","91","85","87","88","92","93","92","86","","","","","","","","","","","",""
"Peru","84","83","89","90","88","88","95","91","93","93","93","93","94","94","96","41","40","38","43","28","12","","","","","","",""
"Philippines","65","72","86","60","67","89","22","14","1","","","","","","","","","","","","","","","","","","",""
"Poland","95","96","98","98","98","99","99","99","99","99","98","88","31","22","","","","","","","","","","","","","",""
"Portugal","99","98","98","98","98","98","98","97","97","96","97","97","97","93","95","99","94","90","86","91","95","","","","","","",""
"Qatar","98","97","98","99","89","93","97","93","97","99","97","94","96","97","96","92","96","93","80","92","94","92","","","","","",""
"Republic of Korea","98","97","97","98","97","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","92","88","89","86","89","89","90","78","63","47","","","","","","","","","","","","","","","","","",""
"Romania","86","82","89","89","90","91","92","89","","","","","","","","","","","","","","","","","","","",""
"Rwanda","97","98","98","98","98","98","98","97","97","97","97","97","99","95","89","96","88","","","","","","","","","","",""
"Saint Kitts and Nevis","98","98","98","94","98","97","98","98","96","97","97","99","99","99","95","99","95","99","12","","","","","","","","",""
"Saint Lucia","95","80","95","99","99","99","98","99","97","95","96","99","85","95","91","84","14","","","","","","","","","","",""
"Saint Vincent and the Grenadines","97","99","99","99","98","98","97","96","99","99","99","99","99","99","99","27","","","","","","","","","","","",""
"Samoa","34","74","80","84","81","85","82","74","70","55","32","","","","","","","","","","","","","","","","",""
"San Marino","91","88","85","83","82","80","87","92","88","88","90","89","91","93","93","94","95","95","95","95","92","88","84","80","76","72","69","65"
"Sao Tome and Principe","95","95","96","96","95","97","96","96","98","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","96","98","98","98","98","98","98","98","98","98","98","96","96","96","96","95","95","","","","","","","","","","",""
"Senegal","82","91","93","89","89","92","91","92","89","86","88","94","89","18","","","","","","","","","","","","","",""
"Serbia","96","95","92","95","94","92","90","93","91","94","98","89","42","","","","","","","","","","","","","","",""
"Seychelles","99","97","96","97","99","98","98","99","99","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","90","90","84","86","83","92","91","89","86","84","77","63","","","","","","","","","","","","","","","",""
"Singapore","96","96","96","96","86","85","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","99","92","70","59","47","36","30","3","","","","",""
"Slovenia","93","94","94","95","95","95","96","96","96","96","97","97","97","95","94","95","93","93","","","","","","","","","",""
"Solomon Islands","85","83","94","87","77","83","92","92","87","87","89","","","","","","","","","","","","","","","","",""
"Somalia","42","42","42","42","42","42","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","74","76","76","85","85","79","69","71","72","77","80","84","84","82","75","69","70","71","73","","","","","","","","",""
"South Sudan","49","47","45","31","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","94","95","97","97","96","96","97","97","97","96","97","96","98","96","97","98","97","96","92","82","82","","","","","","",""
"Sri Lanka","99","99","99","99","99","99","99","99","99","","","","","","","","","","","","","","","","","","",""
"Sudan","93","95","93","93","94","93","92","93","75","72","78","","","","","","","","","","","","","","","","",""
"Suriname","95","81","91","89","85","86","84","86","86","87","84","84","84","83","","","","","","","","","","","","","",""
"Sweden","97","97","98","98","97","98","98","98","98","98","98","98","98","98","99","99","98","98","98","98","99","99","99","99","99","99","90","55"
"Switzerland","95","95","95","95","95","95","95","95","95","95","95","93","93","93","91","91","91","91","91","91","77","","","","","","",""
"Syrian Arab Republic","48","48","42","41","43","41","45","72","80","80","79","80","80","80","81","82","83","84","","","","","","","","","",""
"Tajikistan","96","96","97","96","97","96","94","96","93","93","46","","","","","","","","","","","","","","","","",""
"Republic of North Macedonia","91","91","94","89","94","97","95","96","89","82","13","","","","","","","","","","","","","","","","",""
"Timor-Leste","83","83","79","76","77","82","","","","","","","","","","","","","","","","","","","","","",""
"Togo","88","90","89","88","87","84","84","85","83","78","24","","","","","","","","","","","","","","","","",""
"Tonga","81","81","78","78","80","82","77","82","81","81","81","82","82","82","","","","","","","","","","","","","",""
"Trinidad and Tobago","99","89","97","90","92","92","92","90","90","90","90","88","89","95","94","92","59","85","74","49","8","","","","","","",""
"Tunisia","97","98","98","98","98","98","97","43","","","","","","80","97","96","","","","","","","","","","","",""
"Turkey","98","96","98","97","96","98","97","97","97","96","96","76","","","","","","","","","","","","","","","",""
"Turkmenistan","99","99","98","99","97","97","97","71","58","","","","","","","","","","","","","","","","","","",""
"Tuvalu","89","96","94","96","89","90","97","96","89","84","","","","","","","","","","","","","","","","","",""
"Uganda","93","94","93","89","85","84","83","82","80","79","71","73","64","64","62","44","29","","","","","","","","","","",""
"Ukraine","39","39","47","38","38","83","83","26","51","66","81","46","11","","","","","","","","","","","","","","",""
"United Arab Emirates","99","98","99","99","99","98","96","95","94","93","92","92","92","94","94","94","94","92","92","94","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","94","94","94","95","95","95","95","95","94","93","92","92","92","91","92","91","91","91","91","92","91","92","95","94","93","89","",""
"United Republic of Tanzania","98","97","97","98","97","91","92","90","91","85","","","","","","","","","","","","","","","","","",""
"United States of America","92","93","93","93","93","93","93","94","90","84","91","93","93","94","94","94","93","93","93","94","93","93","91","91","","","",""
"Uruguay","91","93","95","95","95","94","95","95","95","95","94","94","95","96","94","91","95","90","88","91","75","84","","","","","",""
"Uzbekistan","98","99","99","99","99","99","99","99","99","98","","","","","","","","","","","","","","","","","",""
"Vanuatu","85","85","81","80","86","86","64","64","","","","","","","","","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","60","66","84","87","78","82","81","78","78","84","51","62","71","87","60","54","59","34","2","","","","","","","","",""
"Viet Nam","75","94","96","97","95","59","97","95","63","","","","","","","","","","","","","","","","","","",""
"Yemen","65","68","71","69","73","73","67","69","75","74","75","75","73","43","","","","","","","","","","","","","",""
"Zambia","90","94","91","90","86","79","78","81","83","94","87","80","81","82","83","","","","","","","","","","","","",""
"Zimbabwe","89","89","90","87","91","95","97","94","90","73","75","","","","","","","","","","","","","","","","",""
