"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Lebanon","81","81","81","81","81","81","80","79","77","76","75","75","75","74","74","74","77","80","83","86","89","92","94","93","93","91","88","86","82","78","62","46","30","17","4","6","9","4",""
"Lesotho","90","90","90","90","90","90","93","95","92","89","86","87","88","88","89","90","84","78","82","86","86","86","87","88","87","86","84","83","82","81","79","78","79","80","72","64","59","54","56"
"Liberia","84","86","79","52","49","75","80","77","71","84","79","67","66","66","47","49","51","54","56","58","","","","","","","","","","","","","","","","","","",""
"Libya","97","96","97","97","94","96","98","98","98","98","98","98","98","98","97","95","93","94","94","94","95","96","96","95","95","96","90","87","84","87","84","82","82","81","81","79","72","67","60"
"Lithuania","92","94","94","93","93","93","93","92","95","98","96","95","94","93","90","91","97","97","92","88","88","95","93","89","88","86","88","","","","","","","","","","","",""
"Luxembourg","99","99","99","99","99","99","99","96","96","96","96","96","99","99","99","99","99","99","99","99","98","98","98","96","94","92","90","90","90","90","90","90","90","90","90","90","","",""
"Madagascar","76","71","75","71","73","73","71","73","70","76","77","83","83","80","74","65","61","60","58","57","53","48","48","56","64","64","64","54","46","42","41","34","28","21","13","11","8","",""
"Malawi","91","87","83","88","87","89","95","97","86","93","92","88","99","94","94","85","79","86","73","77","93","94","82","90","84","91","98","96","93","90","72","78","53","55","56","58","58","57","28"
"Malaysia","99","99","98","99","97","97","97","96","96","97","97","97","95","96","95","96","94","95","98","97","97","98","97","98","94","91","91","91","90","84","67","68","62","56","55","55","66","69","67"
"Maldives","99","99","99","99","99","99","99","96","97","98","98","98","98","98","96","98","98","97","98","98","97","97","96","97","97","98","98","97","94","91","86","42","42","28","24","13","1","1","4"
"Mali","73","70","67","65","62","57","65","72","77","77","74","76","79","78","70","67","65","56","53","53","52","52","53","49","39","46","38","34","42","26","18","8","6","8","","","","",""
"Malta","97","98","97","97","99","99","99","96","76","73","72","76","83","94","89","94","95","95","94","93","92","92","92","92","78","83","81","86","86","88","79","87","73","84","90","85","80","75",""
"Marshall Islands","80","79","69","85","77","79","80","88","95","99","96","91","95","88","68","80","80","56","36","86","86","71","77","64","62","52","62","71","89","63","37","33","","","","","","",""
"Mauritania","81","81","73","67","81","80","80","73","52","63","73","75","68","71","68","75","91","75","58","61","16","28","50","56","50","44","39","28","33","28","29","10","11","16","21","20","19","18",""
"Mauritius","98","95","96","98","98","98","98","98","99","99","99","96","98","97","98","99","88","93","88","85","90","90","90","93","89","89","88","91","86","86","87","96","97","91","87","91","96","83","90"
"Mexico","88","85","96","87","87","83","99","97","95","95","96","98","98","98","98","98","98","97","97","96","96","95","95","92","92","83","91","87","66","96","95","97","96","67","99","88","99","99","91"
"Micronesia (Federated States of)","75","72","68","71","76","81","81","83","85","81","88","79","81","94","82","88","84","79","85","76","79","75","78","81","81","79","79","78","85","78","71","56","","","","","","",""
"Monaco","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","99","99","99","","","","","","","",""
"Mongolia","99","99","99","99","99","98","99","99","96","96","95","99","98","99","99","98","98","95","94","94","94","92","90","86","77","79","54","78","87","87","87","86","86","86","86","86","86","86","86"
"Montenegro","87","87","89","89","91","94","94","95","93","91","95","92","90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","99","99","99","99","99","99","99","98","99","99","99","95","97","98","97","91","94","93","95","91","93","95","95","90","87","86","87","82","81","80","82","82","63","51","45","41","32","",""
"Mozambique","80","80","80","80","79","78","73","73","73","74","74","75","73","71","69","67","76","72","69","65","62","58","55","57","55","49","50","46","46","47","38","38","32","25","32","38","43","32",""
"Myanmar","91","89","89","89","88","76","87","90","90","90","85","84","82","86","92","86","84","77","88","88","90","90","87","84","77","73","71","66","88","45","22","10","4","3","2","3","1","",""
"Namibia","84","83","84","92","88","89","84","85","83","83","83","81","74","86","81","82","78","79","80","72","74","69","71","73","80","79","70","70","","","","","","","","","","",""
"Nauru","90","87","97","91","95","87","79","99","99","99","99","99","90","80","73","66","59","99","27","64","72","36","46","56","60","63","67","70","74","70","67","55","59","73","52","","","",""
"Nepal","91","90","85","90","92","92","90","92","83","93","82","82","91","78","80","76","72","73","74","76","66","70","60","50","54","51","48","45","42","42","43","43","34","20","6","4","3","1",""
"Netherlands","93","94","95","95","96","97","97","97","97","97","97","97","96","96","98","98","97","97","97","97","97","97","97","97","97","97","98","97","97","97","97","97","97","97","97","97","97","96","96"
"New Zealand","93","94","92","92","93","92","93","95","93","92","89","88","89","89","87","86","84","82","82","85","82","99","94","87","84","76","68","68","90","83","75","74","84","84","84","72","","",""
"Nicaragua","99","99","99","99","99","99","99","99","99","99","97","93","88","87","80","86","85","89","85","85","83","83","83","83","84","84","84","85","90","87","91","99","94","88","81","83","71","24","21"
"Niger","79","85","82","83","79","62","71","40","75","71","68","57","52","46","45","44","43","42","41","40","33","25","23","23","20","20","20","19","22","13","9","7","5","4","5","5","6","6",""
"Nigeria","57","57","57","40","50","46","42","48","54","66","60","54","46","45","43","42","40","36","31","27","22","25","26","31","45","28","38","42","55","47","36","28","21","16","8","","","",""
"Niue","99","99","99","99","99","99","99","99","99","99","99","99","99","86","99","95","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","80","62","43","55","67","79","76"
"Norway","96","96","96","95","93","94","95","94","93","94","94","93","94","91","92","92","93","91","91","91","91","91","92","92","93","92","98","93","84","84","84","80","84","90","90","90","","",""
"Oman","99","99","99","99","99","99","99","99","99","96","97","97","98","99","99","99","99","99","99","99","99","99","99","99","97","97","99","95","98","98","90","89","82","60","45","31","24","19","18"
"Pakistan","75","75","75","72","69","65","64","63","52","52","53","54","58","63","67","66","64","63","61","60","58","52","46","58","39","37","42","50","54","40","38","36","34","30","23","15","5","3","2"
"Palau","98","97","98","89","95","99","89","98","68","48","92","94","98","98","98","99","99","98","96","96","96","90","99","99","34","99","99","98","99","99","99","98","","","","","","",""
"Panama","88","81","86","72","80","81","87","91","95","85","86","84","98","88","92","95","99","95","99","94","97","99","92","86","83","83","77","82","86","72","70","74","72","71","65","84","60","74","70"
"Papua New Guinea","67","60","73","74","64","80","81","69","72","79","76","72","67","61","59","62","54","52","51","51","49","35","58","68","60","56","57","68","68","52","48","46","42","34","32","27","27","32","29"
"Paraguay","88","92","93","93","93","89","89","89","89","82","85","95","98","96","92","86","87","90","86","83","79","75","72","68","70","66","73","68","64","59","70","81","90","99","68","47","39","26","14"
"Peru","83","83","88","88","78","71","94","91","92","92","93","93","94","66","81","95","95","90","93","96","93","91","93","89","87","88","85","74","73","60","61","45","50","47","28","22","23","20","16"
"Philippines","66","74","72","79","77","84","88","87","78","86","91","87","88","90","85","85","77","76","74","79","82","82","74","67","71","74","78","90","88","85","78","72","65","58","56","55","51","46","50"
"Poland","87","90","92","92","94","95","95","96","96","96","96","99","99","99","99","98","98","98","98","98","98","98","97","96","95","95","94","94","96","96","96","96","95","94","95","95","95","95","96"
"Portugal","99","98","98","98","98","98","98","97","97","96","97","96","97","93","95","96","96","96","96","96","96","93","95","96","96","92","93","95","89","88","81","81","78","29","21","20","18","16","18"
"Qatar","98","97","98","99","99","99","93","92","98","98","98","97","95","98","95","93","96","93","91","92","94","92","92","92","91","90","88","86","82","81","69","86","70","71","60","49","37","43","61"
"Republic of Korea","98","97","98","98","99","99","99","98","95","95","92","91","98","96","90","94","99","99","99","85","71","81","91","99","93","88","84","79","74","88","91","93","80","80","80","78","70","62",""
"Republic of Moldova","94","90","91","88","92","92","92","96","97","87","96","93","98","99","98","98","98","98","97","98","98","98","99","97","94","92","93","","","","","","","","","","","",""
"Romania","86","82","89","89","94","88","92","89","94","95","95","96","97","97","97","97","98","99","99","98","98","97","97","94","94","91","92","90","92","95","92","90","90","92","","","","",""
"Russian Federation","96","96","97","97","97","98","98","97","98","98","98","98","98","98","98","97","97","97","97","97","94","91","87","77","68","82","69","","","","","","","","","","","",""
"Rwanda","97","98","99","99","98","98","98","93","93","93","97","98","99","95","89","96","85","76","90","85","79","73","89","84","23","83","86","90","83","93","78","86","86","56","41","25","20","15",""
"Saint Kitts and Nevis","97","96","99","90","95","96","97","98","90","94","97","99","98","99","95","98","96","99","98","98","97","99","98","99","99","99","99","99","99","99","93","98","99","89","97","91","93","71","76"
"Saint Lucia","95","80","95","99","99","99","98","99","97","95","96","99","85","95","91","91","90","99","70","89","88","98","88","98","93","97","96","95","90","93","87","86","88","44","84","80","81","65","58"
"Saint Vincent and the Grenadines","99","99","99","99","97","97","96","96","99","99","99","99","99","93","99","99","99","99","99","99","99","99","99","97","99","99","99","99","92","97","97","96","95","89","90","84","99","33","26"
"Samoa","31","71","77","81","78","82","82","79","74","61","69","63","49","66","35","90","91","88","98","97","99","99","95","94","93","92","91","79","88","66","90","93","94","92","96","89","87","66","29"
"San Marino","93","91","88","87","86","88","91","94","91","92","92","92","93","96","96","96","97","97","97","97","97","97","98","98","99","99","99","99","99","99","99","99","99","99","99","99","","",""
"Sao Tome and Principe","95","95","96","96","95","97","96","96","98","99","99","98","97","97","99","94","92","90","87","80","72","73","68","79","69","60","67","87","90","62","72","72","66","48","48","48","48","48",""
"Saudi Arabia","98","97","97","97","98","98","98","98","98","98","98","96","96","96","96","95","95","97","95","93","94","92","93","96","95","94","91","91","92","96","89","89","86","81","76","67","62","53","41"
"Senegal","81","91","92","85","85","89","83","89","76","83","87","93","89","84","87","73","60","49","49","60","60","65","70","80","57","58","59","51","53","56","58","56","55","","","","","",""
"Serbia","96","95","93","95","93","97","93","94","91","97","95","93","97","98","96","89","95","93","98","92","93","94","91","90","84","83","84","","","","","","","","","","","",""
"Seychelles","99","97","96","97","99","98","98","99","99","99","99","99","99","99","99","99","99","96","98","99","99","98","99","97","96","96","96","98","99","97","94","89","94","86","95","98","57","16",""
"Sierra Leone","90","90","84","86","83","92","91","88","84","81","75","63","65","67","69","66","54","38","46","61","","","","","","","","","","","","","","","","","","",""
"Singapore","96","96","96","96","96","97","97","96","96","97","97","97","95","96","95","96","94","95","98","97","97","98","97","98","94","92","92","91","85","90","90","95","94","81","81","86","83","88","83"
"Slovakia","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","98","98","99","98","99","98","98","98","98","98","","","","","","","","","","","","","",""
"Slovenia","93","94","94","95","95","95","96","96","96","96","97","97","97","95","94","95","93","93","93","93","90","92","98","98","98","98","98","","","","","","","","","","","",""
"Solomon Islands","85","80","89","85","78","85","88","97","84","90","88","89","99","90","89","84","78","88","88","88","71","70","98","69","65","71","73","74","75","66","63","41","41","36","41","27","22","34","43"
"Somalia","47","47","47","47","47","47","47","49","49","41","40","40","26","35","30","40","40","33","37","40","35","19","21","22","23","21","20","18","18","18","26","25","17","22","11","5","5","2","8"
"South Africa","74","76","76","85","85","79","69","71","72","75","77","79","79","75","73","70","70","71","71","71","72","72","73","72","73","81","79","82","76","73","70","75","70","77","76","80","","",""
"South Sudan","50","48","45","52","52","56","67","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","93","95","97","97","97","96","97","97","97","96","97","96","98","96","97","99","98","95","95","95","94","94","91","88","88","88","85","88","94","94","94","82","75","73","91","","","",""
"Sri Lanka","99","99","99","99","99","99","99","99","99","97","98","98","98","99","97","98","98","98","99","99","94","98","92","92","89","90","88","86","86","88","85","79","75","71","65","64","56","45","46"
"Sudan","93","95","93","93","94","93","92","93","90","81","85","84","77","78","74","69","60","66","62","64","48","55","56","48","46","51","53","62","62","61","41","27","14","8","4","3","2","1","1"
"Suriname","95","65","91","89","85","86","84","86","96","85","85","84","84","84","84","74","74","65","70","84","90","81","84","81","71","75","71","77","81","71","71","70","80","85","79","83","53","22","24"
"Sweden","97","97","98","98","97","98","98","98","98","98","98","98","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","97"
"Switzerland","96","96","96","96","96","96","96","96","96","96","96","94","94","94","95","95","95","95","95","95","92","95","95","95","95","95","95","95","98","98","95","97","98","","","","","",""
"Syrian Arab Republic","53","53","48","50","52","50","47","60","83","83","83","83","83","83","84","85","86","83","86","87","88","87","88","89","89","90","89","89","91","94","59","42","86","29","25","21","15","14","13"
"Tajikistan","96","97","97","96","94","97","96","97","95","93","87","85","76","79","82","82","84","84","86","84","82","80","77","69","80","65","61","","","","","","","","","","","",""
"Thailand","97","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","97","97","97","97","96","95","94","96","93","89","84","90","92","84","80","71","66","61","56","46","39","31","19"
"Republic of North Macedonia","91","91","95","92","96","98","97","97","95","96","96","96","92","98","95","96","97","91","96","95","94","97","94","95","91","99","","","","","","","","","","","","",""
"Timor-Leste","83","83","79","75","76","82","83","66","72","78","79","70","62","55","57","55","38","","","","","","","","","","","","","","","","","","","","","",""
"Togo","66","84","89","88","85","84","84","85","83","78","80","72","85","80","71","72","58","51","63","57","43","47","53","59","62","66","69","73","76","72","54","60","35","23","11","10","10","9",""
"Tonga","83","83","80","80","82","84","79","84","84","86","88","88","89","90","91","91","85","91","91","91","96","96","99","93","90","96","99","92","93","93","92","87","73","81","46","57","80","37","20"
"Trinidad and Tobago","99","94","84","88","94","94","91","91","91","90","91","90","89","95","94","91","96","91","90","90","91","91","90","90","85","78","87","81","87","77","83","80","71","74","66","61","59","55","38"
"Tunisia","97","98","98","98","98","98","97","98","98","99","99","98","99","98","97","95","96","98","97","99","96","96","95","94","93","94","95","93","93","93","91","84","72","70","66","62","","",""
"Turkey","98","96","98","97","96","98","97","97","97","96","96","96","90","90","85","69","78","88","85","79","81","79","73","67","91","76","77","72","84","79","86","86","45","55","57","59","61","69","63"
"Turkmenistan","99","99","98","99","98","98","98","97","96","97","96","98","98","99","98","66","99","94","98","98","99","99","98","96","94","92","91","","","","","","","","","","","",""
"Tuvalu","89","96","94","96","89","90","97","96","89","85","99","97","97","99","98","93","98","96","82","84","78","80","92","85","95","86","86","71","84","66","91","59","73","97","74","83","79","44","23"
"Uganda","88","90","97","92","78","78","79","79","79","78","69","70","62","59","58","57","57","56","55","54","50","55","57","58","59","56","52","49","45","42","38","30","21","13","12","11","9","8",""
"Ukraine","48","48","56","51","45","72","72","54","57","74","91","98","99","95","99","99","99","99","99","98","98","99","99","97","96","91","89","","","","","","","","","","","",""
"United Arab Emirates","99","96","99","99","99","98","96","95","94","94","94","94","94","94","94","94","94","94","94","94","94","92","90","90","90","90","86","85","85","85","82","80","77","74","59","50","46","45","11"
"United Kingdom of Great Britain and Northern Ireland","94","94","94","95","95","95","95","95","94","93","92","92","92","91","92","91","91","91","91","92","91","92","96","96","95","95","95","93","92","89","87","87","85","95","84","84","84","82","81"
"United Republic of Tanzania","91","96","93","96","97","91","90","88","94","88","89","88","91","91","95","97","91","65","64","74","79","79","80","79","83","78","82","81","78","66","82","80","73","64","47","49","48","46","57"
"United States of America","93","94","94","93","93","93","93","94","93","93","94","93","93","92","92","91","90","89","90","90","91","91","91","88","84","79","72","78","85","91","97","97","97","96","97","97","97","96","95"
"Uruguay","91","93","95","95","95","94","95","95","95","95","94","94","95","96","95","91","93","94","92","93","91","91","91","91","91","92","93","96","97","88","82","85","64","58","80","77","72","60","59"
"Uzbekistan","98","99","99","99","99","99","99","99","99","99","98","98","94","99","99","99","99","99","99","99","99","98","97","99","79","46","85","","","","","","","","","","","",""
"Vanuatu","85","83","81","80","80","78","77","75","74","72","70","69","67","67","67","67","67","67","67","67","67","67","68","74","74","87","78","82","78","70","58","53","31","27","27","18","17","",""
"Venezuela (Bolivarian Republic of)","53","79","82","87","79","82","73","78","74","75","76","67","73","80","83","86","81","87","86","86","62","76","73","85","73","72","73","74","72","67","74","61","64","59","59","77","76","75","95"
"Viet Nam","90","94","95","97","96","93","97","96","94","97","93","92","94","94","96","96","92","96","96","93","94","95","94","94","94","91","89","88","88","70","54","45","45","62","5","2","","",""
"Yemen","59","62","65","63","67","67","68","69","77","76","78","79","78","80","72","61","64","73","74","71","68","40","47","44","33","54","50","47","84","56","36","18","13","12","7","5","4","3","1"
"Zambia","90","92","87","90","78","74","70","83","80","93","90","77","83","84","84","85","85","86","85","84","83","82","83","84","90","87","83","80","90","81","81","81","74","61","50","46","","",""
"Zimbabwe","89","89","90","88","92","95","95","93","89","69","75","73","71","69","67","70","73","76","78","81","84","86","90","88","87","85","86","88","89","88","87","86","82","63","61","53","46","38",""
